Scheme Name	Net Asset Value
Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW	113.8834
Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW	114.1789
Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW	112.862
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW	160.993
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW	110.789
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW	109.6221
Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - monthly IDCW	110.6488
Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - quarterly IDCW	112.4101
Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth	318.6617
Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth	478.3524
Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth	328.6766
Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option	1532.8272
Axis Banking & PSU Debt Fund - Direct Plan - Daily IDCW	1039.1310
Axis Banking & PSU Debt Fund - Direct Plan - Growth Option	2357.3885
Axis Banking & PSU Debt Fund - Direct Plan - Monthly IDCW	1033.9141
Axis Banking & PSU Debt Fund - Direct Plan - Weekly IDCW	1038.5882
Axis Banking & PSU Debt Fund - Regular Plan - Bonus Option	1289.4075
Axis Banking & PSU Debt Fund - Regular Plan - Daily IDCW	1039.1303
Axis Banking & PSU Debt Fund - Regular Plan - Growth option	2297.9820
Axis Banking & PSU Debt Fund - Regular Plan - Monthly IDCW	1033.8646
Axis Banking & PSU Debt Fund - Regular Plan - Weekly IDCW	1038.5691
BANDHAN Banking & PSU Debt Fund - Direct Annual IDCW	12.2790
BANDHAN Banking & PSU Debt Fund - Direct Daily IDCW	10.4768
BANDHAN Banking & PSU Debt Fund - Direct Fortnightly IDCW	10.4553
BANDHAN Banking & PSU Debt Fund - Direct Growth	21.9891
BANDHAN Banking & PSU Debt Fund - Direct IDCW	11.5673
BANDHAN Banking & PSU Debt Fund - Direct Monthly IDCW	10.4741
BANDHAN Banking & PSU Debt Fund - Direct Quarterly IDCW	10.8016
BANDHAN Banking & PSU Debt Fund - Regular Annual IDCW	11.3008
BANDHAN Banking & PSU Debt Fund - Regular Daily IDCW	10.8788
BANDHAN Banking & PSU Debt Fund - Regular Fortnightly IDCW	10.6111
BANDHAN Banking & PSU Debt Fund - Regular Growth	21.4847
